wise_content_id,wiseable_type,wiseable_id,content,attribution_text,medical_society_id,pdf_url
5,Procedure,86,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/5.pdf
7,Procedure,229,"Dont perform stress cardiac imaging or coronary angiography in patients without cardiac symptoms unless high-risk markers are present.

Asymptomatic, low-risk patients account for up to 45 percent of inappropriate stress testing. Testing should be performed only when the following findings are present: diabetes in patients older than 40 years old, peripheral arterial disease, and greater than 2 percent yearly coronary heart disease event rate.","The American Society of Nuclear Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",5,https://s3.amazonaws.com/itriage/choosing_wisely/7.pdf
9,Procedure,232,"Dont perform annual stress cardiac imaging or advanced non-invasive imaging as part of routine follow-up in asymptomatic patients.

Performing stress cardiac imaging or advanced non-invasive imaging in patients without symptoms on a serial or scheduled pattern (e.g., every one to two years or at a heart procedure anniversary) rarely results in any meaningful change in patient management. This practice may, in fact, lead to unnecessary invasive procedures and excess radiation exposure without any proven impact on patients outcomes. An exception to this rule would be for patients more than five years after a bypass operation.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/9.pdf
11,Procedure,266,"Dont obtain screening exercise electrocardiogram testing in individuals who are asymptomatic and at low risk for coronary heart disease.

In asymptomatic individuals at low risk for coronary heart disease (10-year risk <10%) screening for coronary heart disease with exercise electrocardiography does not improve patient outcomes.

","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 
",1,https://s3.amazonaws.com/itriage/choosing_wisely/11.pdf
13,Procedure,551,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,https://s3.amazonaws.com/itriage/choosing_wisely/13.pdf
15,Procedure,555,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,https://s3.amazonaws.com/itriage/choosing_wisely/15.pdf
17,Procedure,554,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,https://s3.amazonaws.com/itriage/choosing_wisely/17.pdf
19,Procedure,548,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,https://s3.amazonaws.com/itriage/choosing_wisely/19.pdf
21,Procedure,566,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
23,Procedure,565,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
