_id,name,description,common_complications
1,Abdominal hysterectomy (remove uterus),"A surgical procedure to remove the uterus, and possibly the ovaries, through the abdomen. There are many reasons the uterus needs to be removed including: tumors, chronic pain, prolapse, and persistent bleeding.    
","Excessive bleeding and infection after the surgery are the most common complications. Other problems may include the development of blood clots, chronic abdominal pain, damage to other pelvic organs, and earlier menopause. The most common pelvic organ damaged is the ureter (the tube that carries urine from the kidney to the bladder). Patients can infrequently have bad reactions to anesthesia including allergic reactions."
2,Abdominal ultrasound (imaging procedure),"A diagnostic imaging procedure. The ultrasound device is pressed against the abdomen, and sound waves from the device bounce off tissues and create echoes. The pictures can be used to diagnose abnormalities of the liver, gallbladder, spleen, appendix, pancreas, kidneys, blood vessels and other conditions. Also known as transabdominal ultrasound.",There are no complications with an ultrasound procedure.
3,ACTH stimulation test (evaluate adrenal glands),A medical test that evaluates the functioning of the adrenal glands. A hormone called ACTH (adrenocorticotropic hormone) is injected into the blood stream and the amount of cortisol produced is measured. The test can help diagnose adrenal insufficiency (Addison's disease).,"Complications are rarely seen. Side effects may include rash, fainting, headache, blurry vision, swelling, dizziness, palpitations, shortness of breath."
4,Adenoidectomy (removal of adenoids),"A surgical procedure to remove the adenoids (lymph tissue in the back of the mouth and throat). Indications include a history of adenoids that are enlarged or frequently infected, causing ear infections, sinus infections or sleep disorders.","Nasal stuffiness is common. Other less common complications include bleeding and infection from the surgery site. Call the doctor if the bleeding is brisk, for a persistent fever or severe pain.  The surgery can result in post-operative pain or infection.  Patients can infrequently have bad reactions to the general anesthesia including allergic reactions."
5,Amniocentesis (sample amniotic fluid),"A diagnostic procedure to sample the amniotic fluid surrounding a fetus, most commonly used to detect birth defects during pregnancy. A needle is inserted through the abdomen and uterus and then into the amniotic sac. An ultrasound is used to direct the needle away from the fetus. The procedure is usually done between the 16th and 20th week of pregnancy.","Pain, infection and bleeding can occur. Infection of the amniotic fluid can result in preterm labor and miscarriage. Direct injury to the fetus can also occur. The complication rate is low. "
6,Amputation (remove limb),"A surgical procedure to remove part or all of a limb or appendage. Some reasons for amputation include: peripheral artery disease, long standing diabetes, severe traumatic damage to the limb, cancer and persistent infection despite antibiotics.","Infection and pain. Rarely a patient continues to feel pain in the removed limb (phantom limb pain).  The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
7,Anastomosis (connect two structures),"A procedure to attach viable tubular structures in the body after the diseased portion has been surgically removed, such as blood vessels or loops of intestine.","Any major surgery can result in infection, pain and the development of blood clots in the legs after surgery. Other problems can occur when there is leaking of the surgical connection. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
8,Anesthesia (make numb or unconscious),"A method of providing partial or complete loss of sensation in part or all of the body, most often using drugs called anesthetics.  Its commonly used to block the pain of surgery. Anesthesia can be local (such as numbing a tooth for drilling a cavity), regional (numbing an entire arm for an operation) or general (being put to sleep). ","A patients risk of anesthesia increases with age and with other co-existing medical problems. The most serious complications are associated with general anesthesia and can result in breathing problems, lung infections from aspiration (breathing in stomach contents into the lungs) and/or death.  Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
9,Angiography (x-ray blood vessels),A diagnostic procedure to x-ray blood vessels. Dye is injected into the vessel using a catheter which allows the vascular structures to be visualized. This procedure can identify blockages and other problems interfering with the flow of blood.,"The vessel being examined can be damaged and torn resulting in bleeding or loss of the vessel. A blood clot can develop in the vessel after the procedure. Patients can have allergic reactions to the dye resulting in rash, swelling, shortness of breath and very rarely shock. The contrast dye can injure the kidneys, especially if the person has underlying kidney disease."
10,Angioplasty (open blocked artery),"A procedure, usually using a small inflatable balloon, to open clogged arteries. Many times a stent or small tube is placed in the vessel to keep it open.",The procedure can result in pain and/or infection. The artery can be torn or damaged when the balloon is inflated. A blood clot can occur in the vessel after the catheter is removed. Patients can infrequently have bad reactions to the medications given during the procedure.
11,Antibody therapy for cancer (kill tumor cells),A medical therapy using substances to kill specific tumor cells or stimulate the immune system to kill tumor cells.,Some normal cells can be killed in the process.
12,Appendectomy (remove appendix),"A surgical procedure to remove the appendix. This procedure can be done by opening the abdomen or with small incisions, using special instruments and a camera called a laparoscope (laparoscopic appendectomy).","Any major surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. Appendectomy can result in an intra-abdominal infection, intestinal obstruction, or damage to other organs in the abdomen. Patients can infrequently have bad reactions to anesthesia."
13,Arteriography (x-ray arteries),A diagnostic procedure to x-ray arteries. Dye is injected into the artery using a catheter or small tube which allows the vascular structures to be visualized. ,"The vessel being examined can be damaged and torn resulting in bleeding or loss of the vessel. A blood clot can develop in the vessel after the procedure. Patients can have allergic reactions to the dye resulting in rash, swelling, shortness of breath and very rarely shock. The contrast dye can injure the kidneys, especially if the person has underlying kidney disease."
14,Arthroscopy (joint examination using camera),A surgical procedure used by orthopedic surgeons to diagnose and treat problems inside a joint. An instrument with a small camera is inserted into the joint to determine what structures are damaged. Many times the surgeon can repair the injuries at the same time.,Infection of the joint requiring additional surgeries and antibiotics. Damage to the joint from insertion of the instrument. A blood clot can develop after surgery.
15,Aspiration (remove fluid with a needle),"A procedure that uses a needle and syringe to draw out fluid. The fluid can be taken from a cyst, joint, abscess or any other collection of fluid in the body.",Infection or pain at the site of the needle insertion. 
16,Autologous bone marrow transplantation (use patient's own bone marrow),"A procedure in which bone marrow is removed from a patient, stored, and then given back to the patient after treatment. ","Bone marrow transplantation is a complex procedure with potentially serious consequences. Complications include: low blood cell counts leading to infection and/or anemia, breathing problems, and damage to the liver or heart.  "
17,Balloon angioplasty (open artery),"A procedure to open clogged or blocked arteries usually involving the heart but can be used in other arteries. A catheter is positioned in the narrowed artery, with a tiny balloon at its tip. The balloon is then inflated and deflated sequentially to stretch or break open the narrowing. This improves the size of the opening and passage for blood flow. Many times a stent (small tube) will be placed in the artery afterward to keep it from closing.","The vessel can be torn (dissection) or damaged causing bleeding or loss of the vessel. At times the damage requires an emergent bypass of the artery. Infection and pain at the insertion site. Dilation of the vessel can cause a pseudo-aneurysm.  The procedure can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the medications given during the procedure."
18,"Barium enema (lower GI series, x-ray colon)","A diagnostic procedure to x-ray the rectum and large intestine. The x-rays are taken after the person is given an enema with a barium containing solutions, which coats the inner lining of the rectum and large intestine. ",Occasionally constipation occurs. Rarely perforation of the rectum or colon occurs. 
19,"Barium swallow (upper GI series, x-ray upper GI tract)","A diagnostic procedure to take x-ray pictures of the esophagus as a person swallows a barium containing solution, which coats the inner lining of the esophagus. The barium solution moves into the stomach and small intestine. X-rays are taken of these structures also. This test is also called an esophagram and can help diagnose the causes of pain and swallowing difficulties. ",Complications are very rare.
20,Biological therapy (immune system modification to treat disease),"A medical therapy that alters the immune system. Depending on the specific type of therapy, it may either stimulate or suppress the immune system. It is used most often to treat cancer and autoimmune diseases.","Complications can be mild such as rash, itching and flu-like symptoms to severe such as very low blood pressure and increased risk of infection."
21,Biopsy (remove cells or tissue),"A procedure to remove cells or tissue for examination under a microscope. The type of biopsy depends on the size and location of the area to be biopsied. It may be done with a skinny needle to suck out cells, a bigger needle that takes a core of tissue, or surgical removal of part or all of the tissue (excisional biopsy).",Infection at the biopsy site. Damage of surrounding tissue or underlying nerves or blood vessels.   
22,Blepharoplasty (eye lift),A cosmetic surgical procedure to remove excess fat and skin from the upper and lower eyelids.,"Infection, bleeding, and an unsatisfactory cosmetic result are the major risks. Rarely, double vision, loss of vision, and/or damage to the tear ducts can occur. "
23,Blood transfusion (replace blood),"A medical procedure to administer blood or blood products into the blood stream, usually for a low blood count from bleeding or anemia.","Even after cross matching of blood reactions can occur. Severe reactions cause fever, shortness of breath, chest pain and rarely shock. Milder reactions include hives, itching and a feeling of uneasiness. Infection is another rare complication."
24,Bone density scan (test of bone strength),"A diagnostic procedure to measure the density or calcium content of a patient's bones. The bone density indicates the strength of the bones, and the risk or level of osteoporosis. Lower levels of bone density may lead to more fractures.",A non-invasive test with no expected complications.
25,Bone marrow biopsy (bone marrow sample),A procedure to remove a sample of tissue from the bone marrow with a needle for examination under a microscope. It is usually done in the back part of the pelvic bone. The procedure is done to help diagnose the specific cause of anemia and other blood cell diseases or determine if cancer is present.,Pain at the biopsy site. Complications are rare. 
