chief_complaint_id,n_body_areas,body_areas_list,n_symptoms,symptoms_list,n_diff_dx,diff_dx_list
,17.0,"Head,Neck,Face,Chest,Back,Lower Back,Shoulder,Arms,Hands,Abdomen,Pelvis,Hips,Buttock/Rectum,Legs,Feet,Skin,Other",,,,
1,1.0,Abdomen,2.0,"Upper abdominal pain,Upper belly pain",42.0,"Cholecystitis (inflammation of the gallbladder),Choledocholithiasis (stone in bile duct),Cholelithiasis (gallstones),Constipation,Gastric ulcer (stomach ulcer),Gastritis (stomach inflammation),Gastroenteritis (intestinal infection),Gastroesophageal reflux (GERD, heartburn),Hiatal hernia (stomach pushes through diaphragm),Irritable bowel syndrome (IBS, chronic intestinal pain and cramping),Bowel obstruction (intestinal blockage),Kidney stone (nephrolithiasis),Pancreatitis (pancreas inflammation),Splenic infarction (death of spleen),Celiac disease (celiac sprue),Lactose intolerance,Ventral hernia (bulging of the abdominal wall),Appendicitis,Bronchitis (bronchial tube infection),Cellulitis (skin infection),Colonic diverticulitis (inflammation of pouches in the large intestine),Costochondritis (chest wall inflammation),Dissecting aortic aneurysm (tearing and dilation of the aorta),Endometriosis (uterine tissue outside the uterus),Esophageal stricture (narrowing of the esophagus),Esophagitis (esophageal inflammation),Hernia,Inguinal hernia (groin hernia),Ligament sprain (connection between two bones),Ovarian cyst (female organ fluid collection),Pancreas inflammation (pancreatitis, chronic),Pneumonia (lung infection),Polycystic kidney disease (inherited kidney disorder),Pyelonephritis (kidney infection),Shingles (herpes zoster),Unstable angina (pre heart attack chest pain),Bladder infection (cystitis, UTI, urinary tract infection),Umbilical hernia (belly button hernia),Stomach cancer (gastric cancer),Diverticulosis (weakening of the large intestine wall),Gastroparesis (stomach muscle malfunction),Gallbladder cancer"
10,3.0,"Buttock/Rectum,Abdomen,Pelvis",1.0,Bloody diarrhea,20.0,"Amebiasis (ameba infection),Campylobacter infection (intestinal bacterial infection),Colitis (large intestine inflammation),Colonic diverticulitis (inflammation of pouches in the large intestine),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),E. coli infection (Escherichia coli, bacterial infection),Intestinal ischemia (decreased intestinal blood flow),Intestinal volvulus (twisting of intestine),Intussusception (telescoping intestine),Mallory Weiss syndrome (esophageal tear),Salmonella infection (common bacterial intestinal infection),Schistosomiasis (parasite infection),Shigellosis (bacterial intestinal infection),Ulcerative colitis (large intestine inflammation),Warfarin (Coumadin) use,Henoch Schönlein purpura (blood vessel inflammation),Clostridium difficile (C. Diff),Food poisoning,Gastrointestinal bleeding (stomach, intestine bleeding),Hemolytic uremic syndrome (HUS, red blood cell destruction, kidney disease)"
100,1.0,Feet,1.0,Toe pain,19.0,"Arthritis (joint inflammation),Calluses and corns,Cellulitis (skin infection),Contusion (bruise, ecchymosis),Dislocation (joint out of place),Gout (uric acid crystals in the joint causing inflammation),Bunion of big toe (hallux valgus),Hammer toes (toe deformity),Laceration (skin cut),Paronychia (infection around the nail),Peripheral neuropathy (nerve damage),Subungual hematoma (blood under nail),Tendonitis (tendon inflammation),Tenosynovitis (tendon sheath inflammation),Toe swelling,Toe fracture,Puncture wound, toe,Ingrown nail (onychocryptosis),Morton's neuroma"
101,1.0,Mouth,2.0,"Tooth pain,Dental problem",7.0,"Dental caries (cavities),Dental abscess (tooth infection),Dry socket (pain after tooth removal),Periodontitis (gum inflammation),Pulpitis (dental root inflammation),Bruxism (teeth grinding),Langerhans cell histiocytosis (Histiocytosis X)"
102,2.0,"Lower Back,Other",1.0,Trauma,9.0,"Abdominal trauma,Back trauma (injury),Chest trauma (injury),Extremity trauma (leg or arm injury),Eye trauma (injury),Facial trauma (injury),Head trauma,Mouth trauma (injury),Neck trauma (injury)"
103,3.0,"Buttock/Rectum,Abdomen,Pelvis",1.0,Traveler's diarrhea,7.0,"Campylobacter infection (intestinal bacterial infection),Cryptosporidia infection (diarrheal parasite infection),E. coli infection (Escherichia coli, bacterial infection),Giardiasis (giardia infection),Rotavirus infection (intestinal viral infection),Shigellosis (bacterial intestinal infection),Salmonella infection (common bacterial intestinal infection)"
104,2.0,"Back,Lower Back",2.0,"Unsteady gait (Trouble walking),Difficulty with walking",29.0,"Altitude illness,Basilar artery migraine (headache),Brain tumor (cancer of the brain),Cerebral palsy (movement disorder),Cerebral vascular accident (stroke),Encephalitis (brain infection),Epidural hematoma (bleeding around brain or spine),Herniated disc (slipped disc, ruptured disc),Meningitis (spinal fluid infection),Multiple sclerosis (MS),Parkinson's disease (movement disorder),Quaternary syphilis (late stage syphilis),Subdural hematoma (bleeding on brain),Tick paralysis (toxin from ticks),Transient ischemic attack (TIA, reversible stroke),Spinal cord tumor,Carotid artery dissection (neck artery tear),Vertebral artery dissection (neck artery tear),Meningioma (brain tumor),Lewy body dementia (common type of dementia),Friedreich's Ataxia (genetic disorder),Post-polio syndrome,Conversion disorder,Hemorrhagic stroke (CVA, cerebrovascular accident),Huntington disease (chorea),Lacunar stroke,Essential thrombocythemia (excessive blood platelets),Charcot-Marie-Tooth disease,Cerebellar Ataxia"
105,1.0,Pelvis,1.0,Vaginal bleeding,18.0,"Dysfunctional uterine bleeding (abnormal vaginal bleeding),Estrogen withdrawal (female hormone),Ovarian cyst (female organ fluid collection),Vaginal cancer (tumor),Vaginal foreign body,Normal menstruation,Idiopathic thrombocytopenia purpura (ITP, low platelets),Cervical cancer (tumor),Menopause (end of menstruation and fertility),Ectopic pregnancy (tubal pregnancy),Cervicitis (inflammation of the lower uterus),Pelvic inflammatory disease (PID, female reproductive organ infection),Polycystic ovarian syndrome (PCOS, female hormonal disorder),Fibroid (uterine muscle tumor),Vulvar squamous cell carcinoma (skin cancer on female genitalia),Warfarin (Coumadin, Jantoven) overdose,Thrombotic thrombocytopenia purpura (TTP, rare blood disorder),Fallopian tube cancer"
106,1.0,Pelvis,1.0,Vaginal bleeding after menopause,6.0,"Cervical cancer (tumor),Endometrial cancer (cancer of the lining of the uterus),Ovarian cancer (female organ cancer),Uterine prolapse (uterine vaginal protrusion),Vaginal atrophy (atrophic vaginitis),Vulvar squamous cell carcinoma (skin cancer on female genitalia)"
